camera      0 0 5    0 0 0       0 1 0  45
sphere 0.43 0.85 0.86     1     0     0.3 8.5 -5.0     0.8
sphere 0.16 0.79 0.68     1     0     -9.4 0.0 -7.7     0.1
sphere 0.1 0.82 0.54     1     0     -6.6 1.8 -5.1     0.1
sphere 0.33 0.48 0.41     1     0     -4.6 1.6 -6.0     0.6
sphere 0.97 0.48 0.35     1     0     9.2 0.7 -5.6     0.2
sphere 0.6 0.02 0.95     1     0     3.8 -8.7 -6.2     0.4
sphere 0.83 0.08 0.99     1     0     6.6 -9.0 -8.8     0.1
sphere 0.31 0.25 0.02     1     0     5.9 -6.1 -5.5     0.3
sphere 0.6 0.85 0.14     1     0     4.4 -4.5 -6.9     0.5
sphere 0.98 0.47 0.21     1     0     5.5 5.5 -8.7     0.2
sphere 0.99 0.2 0.39     1     0     -7.3 4.8 -4.1     0.5
sphere 0.73 0.86 0.48     1     0     0.1 8.3 -5.2     0.2
sphere 0.75 0.88 0.8     1     0     -3.8 -7.4 -8.4     0.5
sphere 0.87 0.76 0.15     1     0     4.4 -9.0 -6.2     0.9
sphere 0.54 0.84 0.47     1     0     -8.3 2.9 -8.1     0.6
sphere 0.01 0.53 0.62     1     0     -7.3 1.0 -6.3     0.8
sphere 0.9 0.19 0.55     1     0     -5.5 8.7 -7.3     0.5
sphere 0.78 0.68 0.99     1     0     2.3 1.9 -6.7     0.5
sphere 0.41 0.31 0.11     1     0     -2.9 1.5 -5.5     0.8
sphere 0.72 0.78 0.85     1     0     -0.3 -1.4 -4.1     0.8
sphere 0.41 0.23 0.62     1     0     -4.6 -1.0 -9.1     0.5
sphere 0.43 0.35 0.76     1     0     7.9 -3.0 -7.5     0.1
sphere 0.66 0.24 0.1     1     0     -3.9 8.4 -6.6     0.8
sphere 0.71 0.97 0.3     1     0     7.6 2.1 -8.1     0.8
sphere 0.57 0.02 0.11     1     0     -2.5 -4.4 -6.5     0.4
sphere 0.39 0.84 0.74     1     0     -0.6 2.1 -7.5     0.9
sphere 0.44 0.54 0.95     1     0     4.0 -1.6 -6.2     0.8
sphere 0.34 0.39 0.32     1     0     -4.1 -7.0 -8.6     0.4
sphere 0.4 0.15 0.95     1     0     3.7 9.5 -8.4     0.3
sphere 0.24 0.27 0.94     1     0     2.3 -3.0 -8.6     0.9
sphere 0.76 0.36 0.12     1     0     -5.1 -2.5 -5.4     0.6
sphere 0.22 0.38 0.01     1     0     8.1 3.6 -4.8     0.5
sphere 0.05 0.06 0.7     1     0     -2.6 7.8 -4.8     0.8
sphere 0.13 0.01 0.73     1     0     -2.8 2.0 -7.0     0.8
sphere 0.43 0.23 0.06     1     0     -3.6 2.2 -4.7     0.2
sphere 0.51 0.62 0.09     1     0     4.7 6.1 -8.3     0.1
sphere 0.19 0.19 0.72     1     0     -2.3 -7.9 -5.5     0.2
sphere 0.71 0.97 0.53     1     0     5.5 5.2 -9.0     0.4
sphere 0.99 0.66 0.48     1     0     1.5 1.3 -5.9     0.7
sphere 0.39 0.72 0.79     1     0     -8.5 5.6 -8.7     0.2
sphere 0.97 0.26 0.8     1     0     -4.6 -3.3 -8.2     0.2
sphere 0.2 0.3 0.22     1     0     4.1 -8.1 -5.0     0.1
sphere 0.52 0.57 0.88     1     0     5.2 2.0 -5.8     0.1
sphere 0.29 0.36 0.9     1     0     -2.8 7.9 -9.5     0.8
sphere 0.09 0.87 0.29     1     0     -3.3 6.0 -7.7     0.4
sphere 0.54 0.14 0.69     1     0     -4.3 6.5 -4.9     0.5
sphere 0.18 0.09 0.07     1     0     -5.8 -2.2 -7.8     0.5
sphere 0.56 0.15 0.59     1     0     7.6 -2.3 -8.4     0.7
sphere 0.34 0.64 0.69     1     0     2.6 1.2 -4.5     0.1
sphere 0.55 0.94 0.41     1     0     5.4 -3.6 -4.1     0.2
sphere 0.29 0.86 0.73     1     0     5.0 -9.5 -8.8     0.5
sphere 0.73 0.05 0.97     1     0     9.3 -5.6 -7.0     0.9
sphere 0.83 0.56 0.35     1     0     -5.4 4.9 -6.7     0.8
sphere 0.11 0.6 0.44     1     0     0.4 -1.5 -6.0     0.2
sphere 0.2 0.42 0.52     1     0     7.7 2.6 -5.8     0.7
sphere 0.97 0.7 0.04     1     0     1.6 -7.8 -6.0     0.5
sphere 0.41 0.14 0.98     1     0     0.3 3.1 -9.2     0.1
sphere 0.84 0.69 0.59     1     0     0.5 -8.7 -5.2     0.9
sphere 0.46 0.79 0.96     1     0     2.7 6.0 -6.8     0.1
sphere 0.26 0.34 0.7     1     0     -6.7 -2.7 -6.8     0.8
sphere 0.15 0.03 0.8     1     0     5.5 -3.9 -8.5     0.3
sphere 0.39 0.7 0.01     1     0     4.1 0.4 -4.5     0.4
sphere 0.14 0.59 0.15     1     0     6.5 -6.1 -7.1     0.5
sphere 0.65 0.9 0.34     1     0     0.6 2.3 -7.0     0.4
sphere 0.58 0.7 0.18     1     0     -0.2 -5.2 -9.8     0.9
sphere 0.95 0.17 0.08     1     0     -3.0 9.7 -9.0     0.7
sphere 0.43 0.64 0.34     1     0     -10.0 -2.8 -8.6     0.5
sphere 0.75 0.74 0.84     1     0     2.5 -6.2 -6.8     0.9
sphere 0.61 0.44 0.42     1     0     4.1 9.5 -7.4     0.7
sphere 0.58 0.41 0.24     1     0     7.8 -3.9 -7.6     0.7
sphere 0.29 0.99 0.52     1     0     -8.9 -1.9 -8.7     0.8
sphere 0.9 0.48 0.49     1     0     6.9 6.6 -4.9     0.8
sphere 0.04 0.16 0.64     1     0     5.1 -1.6 -9.5     0.2
sphere 0.56 0.12 0.67     1     0     1.6 -9.7 -8.6     0.3
sphere 0.52 0.83 0.19     1     0     -8.1 2.0 -9.0     0.5
sphere 0.43 0.79 0.88     1     0     0.1 6.6 -4.5     0.6
sphere 0.86 0.68 0.48     1     0     -1.9 6.0 -8.5     0.8
sphere 0.69 0.04 0.79     1     0     -8.3 -4.0 -8.0     0.5
sphere 0.29 0.95 0.11     1     0     1.1 -7.5 -8.8     0.2
sphere 0.56 0.21 0.88     1     0     -2.4 -9.3 -4.2     0.6
sphere 0.07 0.37 0.45     1     0     -0.5 1.0 -4.9     0.4
sphere 0.67 0.52 0.72     1     0     7.4 -5.4 -5.0     0.3
sphere 0.1 0.78 0.48     1     0     5.8 7.4 -5.5     0.8
sphere 0.74 0.18 0.29     1     0     1.8 6.3 -5.6     0.8
sphere 0.32 0.85 0.01     1     0     1.9 -2.7 -8.3     0.9
sphere 0.2 0.09 0.56     1     0     -1.2 5.0 -5.9     0.7
sphere 0.88 0.32 0.58     1     0     -2.3 -5.0 -6.4     0.8
sphere 0.13 0.3 0.48     1     0     4.6 -0.9 -7.6     0.5
sphere 0.89 0.37 0.02     1     0     6.8 0.1 -5.7     0.1
sphere 0.72 0.87 0.99     1     0     9.0 -8.8 -9.8     0.8
sphere 0.36 0.99 0.29     1     0     5.5 -1.0 -5.4     0.4
sphere 0.79 0.32 0.86     1     0     9.3 8.4 -8.9     0.3
sphere 0.8 0.12 0.8     1     0     6.5 -9.0 -5.9     0.8
sphere 0.04 0.74 0.46     1     0     8.7 -6.7 -4.5     0.5
sphere 0.41 0.95 0.53     1     0     -5.6 -4.9 -4.8     0.9
sphere 0.46 0.67 0.64     1     0     -3.1 -5.8 -5.6     0.8
sphere 0.37 0.95 0.43     1     0     -7.1 1.9 -4.4     0.3
sphere 0.96 0.28 0.86     1     0     8.5 7.2 -6.5     0.9
sphere 0.46 0.11 0.5     1     0     -9.7 -3.3 -7.4     0.2
sphere 0.58 0.47 0.86     1     0     9.1 7.2 -5.6     0.7
sphere 0.81 0.47 0.13     1     0     7.2 -4.1 -7.0     0.1
sphere 0.79 0.71 0.41     1     0     5.6 -4.4 -8.1     0.2
sphere 0.81 0.59 0.89     1     0     -2.3 6.6 -6.6     0.2
sphere 0.17 0.05 0.04     1     0     -2.3 2.6 -4.7     0.2
sphere 0.3 0.68 0.17     1     0     -0.1 1.6 -6.3     0.9
sphere 0.53 0.75 0.95     1     0     8.6 -6.1 -9.6     0.7
sphere 0.83 0.12 0.62     1     0     5.7 0.4 -5.7     0.1
sphere 0.88 0.47 0.27     1     0     1.3 1.3 -5.5     0.6
sphere 0.12 0.87 0.47     1     0     3.9 6.5 -6.2     0.1
sphere 0.5 0.35 0.24     1     0     -6.9 1.6 -4.5     0.4
sphere 0.82 0.81 0.76     1     0     -9.5 -8.8 -9.0     0.6
sphere 0.31 0.16 0.72     1     0     -4.8 -8.3 -9.3     0.9
sphere 0.26 0.75 0.27     1     0     -4.1 -1.6 -8.9     0.3
sphere 0.76 0.0 0.35     1     0     -6.3 -6.7 -7.4     0.5
sphere 0.22 0.14 0.84     1     0     -9.4 -6.7 -4.0     0.6
sphere 0.3 0.75 0.41     1     0     -9.6 -5.6 -5.6     0.1
sphere 0.16 0.94 0.53     1     0     3.4 -7.1 -8.7     0.2
sphere 0.6 0.57 0.99     1     0     -0.8 3.1 -7.7     0.2
sphere 0.57 0.64 0.28     1     0     5.7 -8.9 -8.6     0.9
sphere 0.38 0.58 0.82     1     0     -9.3 -8.5 -7.0     0.7
sphere 0.54 0.87 0.13     1     0     2.5 8.2 -9.8     0.8
sphere 0.09 0.1 0.41     1     0     5.5 -6.3 -4.4     0.3
sphere 0.35 0.79 0.81     1     0     4.9 4.0 -8.5     0.6
sphere 0.48 0.76 0.67     1     0     -2.5 1.6 -7.2     0.7
sphere 0.12 0.89 0.14     1     0     6.7 6.6 -9.6     0.9
sphere 0.92 0.27 0.55     1     0     1.5 -4.2 -6.6     0.6
sphere 0.58 0.51 0.53     1     0     8.6 -7.6 -6.0     0.7
sphere 0.4 0.85 0.32     1     0     -0.5 -6.1 -8.3     0.8
sphere 0.08 0.11 0.1     1     0     -7.7 1.0 -4.6     0.6
sphere 0.16 0.71 0.07     1     0     5.0 4.3 -7.5     0.6
sphere 0.85 0.15 0.52     1     0     -1.0 7.0 -8.8     0.7
sphere 0.92 0.06 0.36     1     0     5.3 -2.1 -6.2     0.2
sphere 0.73 0.64 0.27     1     0     -6.1 6.8 -7.0     0.4
sphere 0.13 0.44 0.71     1     0     -0.6 -7.1 -8.8     0.5
sphere 0.73 0.28 0.54     1     0     4.3 9.6 -9.2     0.9
sphere 0.03 0.77 0.84     1     0     7.7 -3.2 -4.1     0.3
sphere 0.34 0.89 0.97     1     0     -2.1 -1.4 -6.2     0.1
sphere 0.23 0.18 0.72     1     0     6.8 0.2 -4.4     0.3
sphere 0.94 0.81 0.03     1     0     -7.7 9.1 -7.3     0.4
sphere 0.48 0.53 0.58     1     0     -1.3 -6.0 -6.3     0.5
sphere 0.92 0.41 0.99     1     0     4.5 5.2 -4.5     0.1
sphere 0.19 0.2 0.96     1     0     5.8 -8.8 -8.3     0.2
sphere 0.34 0.56 0.84     1     0     0.8 2.4 -7.8     0.8
sphere 0.53 0.34 0.27     1     0     9.3 3.1 -4.7     0.6
sphere 0.55 0.14 0.36     1     0     7.3 7.3 -7.7     0.8
sphere 0.67 0.85 0.39     1     0     -8.9 -4.4 -6.5     0.1
sphere 0.0 0.26 0.38     1     0     -4.6 9.6 -4.8     0.5
sphere 0.37 0.41 0.15     1     0     -9.9 2.7 -8.7     0.7
sphere 0.22 0.16 0.48     1     0     3.6 8.0 -5.4     0.9
sphere 0.71 0.85 0.45     1     0     -8.2 0.1 -9.5     0.1
sphere 0.55 0.02 0.58     1     0     -8.1 -2.0 -7.6     0.7
sphere 0.73 0.51 0.9     1     0     6.3 0.6 -5.8     0.2
sphere 0.51 0.02 0.41     1     0     -5.7 5.8 -6.9     0.6
sphere 0.11 0.55 0.13     1     0     -3.8 1.1 -7.7     0.7
sphere 0.67 0.1 0.5     1     0     -2.1 9.0 -6.1     0.4
sphere 0.42 0.99 0.21     1     0     -8.1 3.0 -8.0     0.2
sphere 0.67 0.65 0.24     1     0     9.8 -1.1 -6.2     0.3
sphere 0.3 0.13 0.18     1     0     -3.5 -5.0 -5.1     0.3
sphere 0.97 0.97 0.83     1     0     -8.1 -5.5 -8.9     0.8
sphere 0.59 0.96 0.72     1     0     9.4 4.8 -6.8     0.6
sphere 0.8 0.4 0.19     1     0     1.2 -8.3 -7.0     0.8
sphere 0.8 0.38 0.35     1     0     5.1 -8.6 -6.2     0.9
sphere 0.09 0.39 0.59     1     0     1.5 -9.1 -4.3     0.6
sphere 0.36 0.09 0.82     1     0     -7.7 5.7 -7.8     0.9
sphere 0.49 0.59 0.74     1     0     4.1 8.9 -9.7     0.1
sphere 0.57 0.73 0.83     1     0     -5.2 -1.8 -7.8     0.8
sphere 0.64 0.19 0.07     1     0     1.5 -7.4 -9.1     0.6
sphere 0.91 0.1 0.64     1     0     6.5 -5.6 -4.2     0.4
sphere 0.9 0.56 0.56     1     0     3.4 3.3 -7.9     0.3
sphere 0.46 0.47 0.36     1     0     -0.1 0.4 -8.9     0.6
sphere 0.86 0.76 0.06     1     0     6.1 6.5 -6.1     0.2
sphere 0.42 0.12 0.71     1     0     7.3 -0.2 -5.8     0.5
sphere 0.92 0.84 0.77     1     0     -6.2 -1.5 -4.5     0.3
sphere 0.44 0.39 0.83     1     0     7.8 6.9 -6.5     0.3
sphere 0.76 0.9 0.1     1     0     -2.1 4.3 -6.4     0.6
sphere 0.16 0.85 0.89     1     0     8.9 7.5 -9.8     0.9
sphere 0.11 0.82 0.85     1     0     0.8 3.0 -6.3     0.1
sphere 0.46 0.39 0.23     1     0     -4.6 -1.3 -8.9     0.8
sphere 0.24 0.28 0.17     1     0     -6.1 -8.1 -5.8     0.2
sphere 0.64 0.98 0.69     1     0     8.9 3.4 -4.2     0.6
sphere 0.98 0.79 0.16     1     0     5.2 -0.4 -4.9     0.3
sphere 0.23 0.88 0.98     1     0     5.9 -5.8 -8.6     0.8
sphere 0.05 0.52 0.46     1     0     7.3 8.4 -5.5     0.8
sphere 0.78 0.36 0.96     1     0     9.1 1.4 -5.4     0.9
sphere 0.3 0.39 0.6     1     0     -5.1 -0.6 -8.3     0.8
sphere 0.59 0.98 0.36     1     0     9.9 -0.3 -7.2     0.9
sphere 0.53 0.2 0.25     1     0     5.4 -6.5 -9.5     0.5
sphere 0.06 0.82 0.61     1     0     -0.5 4.1 -9.9     0.2
sphere 0.91 0.66 0.15     1     0     -2.8 -7.9 -8.8     0.3
sphere 0.34 0.57 0.65     1     0     -6.3 1.1 -4.5     0.4
sphere 0.57 0.44 0.03     1     0     0.6 -8.7 -6.5     0.9
sphere 0.47 0.3 0.49     1     0     -8.0 -0.5 -5.4     0.1
sphere 0.4 0.12 0.91     1     0     6.6 -1.5 -9.0     0.3
sphere 0.17 0.04 0.36     1     0     2.0 7.8 -9.3     0.3
sphere 0.97 0.9 0.6     1     0     1.4 5.7 -4.0     0.2
sphere 0.02 0.32 0.27     1     0     -6.2 4.0 -8.6     0.9
sphere 0.54 0.14 0.99     1     0     -2.7 -4.0 -5.9     0.2
sphere 0.06 0.3 0.53     1     0     6.3 5.9 -6.9     0.2
sphere 0.14 0.63 0.76     1     0     3.7 -9.6 -8.0     0.9
sphere 0.73 0.3 0.91     1     0     -6.4 -2.6 -6.7     0.1
sphere 0.78 0.45 0.3     1     0     4.6 0.6 -5.1     0.2
sphere 0.67 0.46 0.08     1     0     3.4 3.9 -7.2     0.9
sphere 0.7 0.02 0.49     1     0     2.0 -8.9 -8.0     0.7
sphere 0.47 0.32 0.95     1     0     -9.6 -0.9 -9.0     0.2
sphere 0.44 0.3 0.93     1     0     6.8 6.0 -4.6     0.6
sphere 0.17 0.05 0.45     1     0     3.9 -1.4 -9.2     0.3
sphere 0.99 0.87 0.59     1     0     7.8 2.2 -8.0     0.3
sphere 0.17 0.08 0.91     1     0     9.8 1.7 -4.2     0.5
sphere 0.25 0.05 0.25     1     0     -9.0 -2.0 -9.9     0.5
sphere 0.65 0.5 0.69     1     0     2.1 -3.6 -4.2     0.4
sphere 0.36 0.45 0.99     1     0     -8.8 6.7 -6.1     0.5
sphere 0.15 0.47 0.55     1     0     0.2 9.0 -6.8     0.7
sphere 0.43 0.23 0.63     1     0     7.7 2.7 -6.3     0.9
sphere 0.34 0.1 0.93     1     0     0.8 -8.0 -6.7     0.3
sphere 0.69 0.37 0.41     1     0     -7.4 -8.0 -6.0     0.5
sphere 0.39 0.57 0.77     1     0     8.3 0.9 -5.0     0.8
sphere 0.44 0.57 0.05     1     0     8.6 -1.0 -7.9     0.7
sphere 0.35 0.81 0.07     1     0     -8.1 7.1 -8.0     0.7
sphere 0.46 0.65 0.95     1     0     7.3 -6.0 -4.1     0.3
sphere 0.77 0.86 0.56     1     0     -9.2 -6.8 -4.4     0.4
sphere 0.99 0.82 0.46     1     0     -0.8 -0.2 -7.6     0.1
sphere 0.77 0.19 0.86     1     0     1.5 -0.6 -6.3     0.8
sphere 0.97 0.09 0.73     1     0     -6.5 3.5 -6.3     0.7
sphere 0.4 0.83 0.35     1     0     -3.7 -7.1 -4.1     0.3
sphere 0.63 0.66 0.49     1     0     4.3 -7.0 -5.6     0.5
sphere 0.9 0.57 0.27     1     0     5.6 -2.7 -8.4     0.8
sphere 0.25 0.15 0.17     1     0     -8.2 1.5 -5.1     0.8
sphere 0.11 0.87 0.4     1     0     7.0 -1.2 -8.5     0.2
sphere 0.7 0.69 0.37     1     0     -2.4 -6.0 -8.5     0.3
sphere 0.46 0.65 0.28     1     0     -6.9 -4.9 -9.0     0.3
sphere 0.3 0.63 0.03     1     0     -0.8 4.1 -7.6     0.6
sphere 0.59 0.7 0.16     1     0     5.6 -7.8 -4.4     0.5
sphere 0.5 0.91 0.92     1     0     2.2 3.4 -6.6     0.7
sphere 0.73 0.09 0.16     1     0     -1.9 6.4 -4.4     0.8
sphere 0.59 0.87 0.66     1     0     -1.2 -6.8 -9.6     0.9
sphere 0.81 0.75 0.23     1     0     9.6 -6.7 -6.7     0.9
sphere 0.07 0.15 0.66     1     0     -6.1 -2.3 -5.0     0.3
sphere 0.41 0.9 0.28     1     0     -1.2 3.2 -9.7     0.5
sphere 0.1 0.32 0.25     1     0     6.2 4.1 -5.7     0.3
sphere 0.8 0.38 0.78     1     0     3.6 -7.7 -7.2     0.3
sphere 0.75 0.74 0.19     1     0     -5.7 6.8 -7.9     0.6
sphere 0.72 0.05 0.03     1     0     -8.0 -8.9 -8.1     0.5
sphere 0.83 0.26 0.98     1     0     4.6 0.6 -7.9     0.1
sphere 0.63 0.8 0.69     1     0     -2.6 6.4 -5.9     0.8
sphere 0.31 0.87 0.51     1     0     -2.4 1.6 -4.4     0.1
sphere 0.2 0.56 0.53     1     0     2.3 1.8 -5.3     0.6
sphere 0.77 0.18 0.4     1     0     8.3 -1.9 -8.6     0.6
sphere 0.51 0.16 0.97     1     0     -0.6 3.1 -7.5     0.2
sphere 0.4 0.3 0.59     1     0     -6.9 -3.2 -6.8     0.4
sphere 0.18 0.12 0.06     1     0     -2.6 -0.2 -9.5     0.7
sphere 0.31 0.2 0.41     1     0     4.7 8.4 -6.0     0.4
sphere 0.97 0.2 0.63     1     0     3.1 1.9 -7.1     0.5
sphere 0.63 0.02 0.11     1     0     0.0 2.9 -6.9     0.4
sphere 0.27 0.74 0.45     1     0     -8.8 -8.8 -5.8     0.8
sphere 0.76 0.83 0.86     1     0     2.0 -2.7 -7.4     0.1
sphere 0.13 0.55 0.17     1     0     -3.3 8.6 -6.3     0.7
sphere 0.46 0.05 0.51     1     0     -8.7 4.5 -7.5     0.4
sphere 0.46 0.7 0.36     1     0     -8.2 -0.2 -7.2     0.8
sphere 0.97 0.7 0.35     1     0     5.9 7.4 -7.9     0.2
sphere 0.16 0.12 0.5     1     0     -0.5 -1.4 -7.5     0.6
